char,name,normalized,codepoint,mufidecode
"""",QUOTATION MARK,,0022,""""
#,NUMBER SIGN,,0023,#
&,AMPERSAND,,0026,&
-,HYPHEN-MINUS,,002D,-
.,FULL STOP,,002E,.
/,SOLIDUS,,002F,/
0,DIGIT ZERO,,0030,0
1,DIGIT ONE,,0031,1
2,DIGIT TWO,,0032,2
3,DIGIT THREE,,0033,3
4,DIGIT FOUR,,0034,4
5,DIGIT FIVE,,0035,5
6,DIGIT SIX,,0036,6
7,DIGIT SEVEN,,0037,7
8,DIGIT EIGHT,,0038,8
9,DIGIT NINE,,0039,9
:,COLON,,003A,:
;,SEMICOLON,,003B,;
<,LESS-THAN SIGN,,003C,<
=,EQUALS SIGN,,003D,=
>,GREATER-THAN SIGN,,003E,>
?,QUESTION MARK,,003F,?
A,LATIN CAPITAL LETTER A,,0041,A
B,LATIN CAPITAL LETTER B,,0042,B
C,LATIN CAPITAL LETTER C,,0043,C
D,LATIN CAPITAL LETTER D,,0044,D
E,LATIN CAPITAL LETTER E,,0045,E
F,LATIN CAPITAL LETTER F,,0046,F
G,LATIN CAPITAL LETTER G,,0047,G
H,LATIN CAPITAL LETTER H,,0048,H
I,LATIN CAPITAL LETTER I,,0049,I
L,LATIN CAPITAL LETTER L,,004C,L
M,LATIN CAPITAL LETTER M,,004D,M
N,LATIN CAPITAL LETTER N,,004E,N
O,LATIN CAPITAL LETTER O,,004F,O
P,LATIN CAPITAL LETTER P,,0050,P
Q,LATIN CAPITAL LETTER Q,,0051,Q
R,LATIN CAPITAL LETTER R,,0052,R
S,LATIN CAPITAL LETTER S,,0053,S
T,LATIN CAPITAL LETTER T,,0054,T
U,LATIN CAPITAL LETTER U,,0055,U
V,LATIN CAPITAL LETTER V,,0056,V
W,LATIN CAPITAL LETTER W,,0057,W
X,LATIN CAPITAL LETTER X,,0058,X
Y,LATIN CAPITAL LETTER Y,,0059,Y
Z,LATIN CAPITAL LETTER Z,,005A,Z
_,LOW LINE,,005F,_
a,LATIN SMALL LETTER A,,0061,a
b,LATIN SMALL LETTER B,,0062,b
c,LATIN SMALL LETTER C,,0063,c
d,LATIN SMALL LETTER D,,0064,d
e,LATIN SMALL LETTER E,,0065,e
f,LATIN SMALL LETTER F,,0066,f
g,LATIN SMALL LETTER G,,0067,g
h,LATIN SMALL LETTER H,,0068,h
i,LATIN SMALL LETTER I,,0069,i
j,LATIN SMALL LETTER J,,006A,j
k,LATIN SMALL LETTER K,,006B,k
l,LATIN SMALL LETTER L,,006C,l
m,LATIN SMALL LETTER M,,006D,m
n,LATIN SMALL LETTER N,,006E,n
o,LATIN SMALL LETTER O,,006F,o
p,LATIN SMALL LETTER P,,0070,p
q,LATIN SMALL LETTER Q,,0071,q
r,LATIN SMALL LETTER R,,0072,r
s,LATIN SMALL LETTER S,,0073,s
t,LATIN SMALL LETTER T,,0074,t
u,LATIN SMALL LETTER U,,0075,u
v,LATIN SMALL LETTER V,,0076,v
w,LATIN SMALL LETTER W,,0077,w
x,LATIN SMALL LETTER X,,0078,x
y,LATIN SMALL LETTER Y,,0079,y
z,LATIN SMALL LETTER Z,,007A,z
õ,LATIN SMALL LETTER O WITH TILDE,,00F5,o
ē,LATIN SMALL LETTER E WITH MACRON,,0113,e
ę,LATIN SMALL LETTER E WITH OGONEK,,0119,e
ũ,LATIN SMALL LETTER U WITH TILDE,,0169,u
̃,COMBINING TILDE,,0303,
ͥ,COMBINING LATIN SMALL LETTER I,,0365,i
ᑕ,CANADIAN SYLLABICS TA,,1455,ta
ᗅ,CANADIAN SYLLABICS CARRIER GHO,,15C5,gho
ᗞ,CANADIAN SYLLABICS CARRIER THE,,15DE,the
ᵃ,MODIFIER LETTER SMALL A,,1D43,a
᷑,COMBINING UR ABOVE,,1DD1,ur
ᷓ,COMBINING LATIN SMALL LETTER FLATTENED OPEN A ABOVE,,1DD3,
ẜ,LATIN SMALL LETTER LONG S WITH DIAGONAL STROKE,,1E9C,s
⁹,SUPERSCRIPT NINE,,2079,9
ꝑ,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,,A751,p
ꝓ,LATIN SMALL LETTER P WITH FLOURISH,,A753,p
ꝗ,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER,,A757,q
ꝙ,LATIN SMALL LETTER Q WITH DIAGONAL STROKE,,A759,q
